製品,工場,ライン,頻発停止(分類),注記
ブシュ,本社第1,300t,PRタッチセーフ,-
ブシュ,本社第1,300t,PR排出異常,-
ブシュ,本社第1,300t,CHワーク供給異常,-
ブシュ,本社第1,300t,CHワーク排出異常,-
ブシュ,本社第1,300t,その他,-
ブシュ,本社第1,SS,CH搬送異常,-
ブシュ,本社第1,SS,PRタッチセンサー異常,-
ブシュ,本社第1,SS,PR搬出異常,-
ブシュ,本社第1,SS,その他,-
ブシュ,本社第1,PP,PR上昇コンベア,-
ブシュ,本社第1,PP,上昇コンベア→荒GR,-
ブシュ,本社第1,PP,荒GR→CH振分部,-
ブシュ,本社第1,PP,CH振分→CH,-
ブシュ,本社第1,PP,仕GR出口洗浄機コンベア詰まり,-
ブシュ,本社第1,PP,PRタッチセンサ,-
ブシュ,本社第1,PP,PR排出,-
ブシュ,本社第1,PP,CHワークなし,-
ブシュ,本社第1,PP,CHIAI異常,-
ブシュ,本社第1,PP,CHゲート下降,-
ブシュ,本社第1,PP,CH排出センサ,-
ブシュ,本社第1,PP,測長搬送,-
ブシュ,本社第1,PP,測長センサー,-
ブシュ,本社第1,PP,その他,-
ブシュ,本社第1,RA,PR上昇コンベア,-
ブシュ,本社第1,RA,上昇コンベア→荒GR,-
ブシュ,本社第1,RA,荒GR→CH振分部,-
ブシュ,本社第1,RA,CH振分→CH,-
ブシュ,本社第1,RA,仕GR出口洗浄機コンベア詰まり,-
ブシュ,本社第1,RA,PRタッチセンサ,-
ブシュ,本社第1,RA,PR排出,-
ブシュ,本社第1,RA,CHワークなし,-
ブシュ,本社第1,RA,CHIAI異常,-
ブシュ,本社第1,RA,CHゲート下降,-
ブシュ,本社第1,RA,CH排出センサ,-
ブシュ,本社第1,RA,測長搬送,-
ブシュ,本社第1,RA,測長センサー,-
ブシュ,本社第1,RA,その他,-
ブシュ,本社第1,新CAM,PRタッチセンサー,-
ブシュ,本社第1,新CAM,PR搬送異常,-
ブシュ,本社第1,新CAM,焼トンチャック異常,-
ブシュ,本社第1,新CAM,焼トンコンベア詰まり,-
ブシュ,本社第1,新CAM,CH排出ワーク詰まり,-
ブシュ,本社第1,新CAM,その他,-
ブシュ,本社第2,新3K,タッチセンサー,-
ブシュ,本社第2,新3K,PR排出,-
ブシュ,本社第2,新3K,PRコンベアー詰まり,-
ブシュ,本社第2,新3K,サイジング投入,-
ブシュ,本社第2,新3K,ベンダー投入,-
ブシュ,本社第2,新3K,ベンダー排出,-
ブシュ,本社第2,新3K,その他,-
ブシュ,本社第2,110t,タッチセンサー,-
ブシュ,本社第2,110t,PR排出,-
ブシュ,本社第2,110t,PRコンベアー詰まり,-
ブシュ,本社第2,110t,サイジング投入,-
ブシュ,本社第2,110t,サイジング排出,-
ブシュ,本社第2,110t,ベンダー投入,-
ブシュ,本社第2,110t,ベンダー排出,-
ブシュ,本社第2,110t,その他,-
ブシュ,本社第2,16C,CH投入ミス,-
ブシュ,本社第2,16C,CH排出ミス,-
ブシュ,本社第2,16C,CH投入コンベア切替部つまり,-
ブシュ,本社第2,16C,GR出口コンベアつまり,-
ブシュ,本社第2,16C,洗浄・乾燥機コンベアつまり,-
ブシュ,本社第2,16C,カメラ異常,-
ブシュ,本社第2,16C,ナイフ定期交換,-
ブシュ,本社第2,16C,PRナイフ欠け,-
ブシュ,本社第2,16C,その他,-
ブシュ,本社第2,31A006,CH治具,-
ブシュ,本社第2,31A006,CH供給,-
ブシュ,本社第2,31A006,CH排出,-
ブシュ,本社第2,31A006,その他,-
ブシュ,本社第2,EX,CH治具,-
ブシュ,本社第2,EX,CH供給,-
ブシュ,本社第2,EX,CH加工ユニット,-
ブシュ,本社第2,EX,荒引出口つまり,-
ブシュ,本社第2,EX,仕上出口つまり,-
ブシュ,本社第2,EX,CH後落とし込みつまり,-
ブシュ,本社第2,EX,検査装置,-
ブシュ,本社第2,EX,箱詰めロボット,-
ブシュ,本社第2,EX,その他,-
