ライン,頻発停止(分類),日付,頻発停止回数,,
300t,PRタッチセーフ,7/1,0,,300tPRタッチセーフ45474
300t,PRタッチセーフ,7/2,0,,300tPRタッチセーフ45475
300t,PRタッチセーフ,7/3,0,,300tPRタッチセーフ45476
300t,PRタッチセーフ,7/4,0,,300tPRタッチセーフ45477
300t,PRタッチセーフ,7/5,0,,300tPRタッチセーフ45478
300t,PRタッチセーフ,7/6,0,,300tPRタッチセーフ45479
300t,PRタッチセーフ,7/7,0,,300tPRタッチセーフ45480
300t,PRタッチセーフ,7/8,0,,300tPRタッチセーフ45481
300t,PRタッチセーフ,7/9,0,,300tPRタッチセーフ45482
300t,PRタッチセーフ,7/10,0,,300tPRタッチセーフ45483
300t,PRタッチセーフ,7/11,0,,300tPRタッチセーフ45484
300t,PRタッチセーフ,7/12,0,,300tPRタッチセーフ45485
300t,PRタッチセーフ,7/13,0,,300tPRタッチセーフ45486
300t,PRタッチセーフ,7/14,0,,300tPRタッチセーフ45487
300t,PRタッチセーフ,7/15,,,300tPRタッチセーフ45488
300t,PRタッチセーフ,7/16,,,300tPRタッチセーフ45489
300t,PRタッチセーフ,7/17,,,300tPRタッチセーフ45490
300t,PRタッチセーフ,7/18,,,300tPRタッチセーフ45491
300t,PRタッチセーフ,7/19,,,300tPRタッチセーフ45492
300t,PRタッチセーフ,7/20,0,,300tPRタッチセーフ45493
300t,PRタッチセーフ,7/21,0,,300tPRタッチセーフ45494
300t,PRタッチセーフ,7/22,,,300tPRタッチセーフ45495
300t,PRタッチセーフ,7/23,,,300tPRタッチセーフ45496
300t,PRタッチセーフ,7/24,,,300tPRタッチセーフ45497
300t,PRタッチセーフ,7/25,,,300tPRタッチセーフ45498
300t,PRタッチセーフ,7/26,,,300tPRタッチセーフ45499
300t,PRタッチセーフ,7/27,0,,300tPRタッチセーフ45500
300t,PRタッチセーフ,7/28,0,,300tPRタッチセーフ45501
300t,PRタッチセーフ,7/29,,,300tPRタッチセーフ45502
300t,PRタッチセーフ,7/30,,,300tPRタッチセーフ45503
300t,PRタッチセーフ,7/31,,,300tPRタッチセーフ45504
300t,PR排出異常,7/1,0,,300tPR排出異常45474
300t,PR排出異常,7/2,0,,300tPR排出異常45475
300t,PR排出異常,7/3,0,,300tPR排出異常45476
300t,PR排出異常,7/4,0,,300tPR排出異常45477
300t,PR排出異常,7/5,0,,300tPR排出異常45478
300t,PR排出異常,7/6,0,,300tPR排出異常45479
300t,PR排出異常,7/7,0,,300tPR排出異常45480
300t,PR排出異常,7/8,0,,300tPR排出異常45481
300t,PR排出異常,7/9,0,,300tPR排出異常45482
300t,PR排出異常,7/10,0,,300tPR排出異常45483
300t,PR排出異常,7/11,0,,300tPR排出異常45484
300t,PR排出異常,7/12,0,,300tPR排出異常45485
300t,PR排出異常,7/13,0,,300tPR排出異常45486
300t,PR排出異常,7/14,0,,300tPR排出異常45487
300t,PR排出異常,7/15,,,300tPR排出異常45488
300t,PR排出異常,7/16,,,300tPR排出異常45489
300t,PR排出異常,7/17,,,300tPR排出異常45490
300t,PR排出異常,7/18,,,300tPR排出異常45491
300t,PR排出異常,7/19,,,300tPR排出異常45492
300t,PR排出異常,7/20,0,,300tPR排出異常45493
300t,PR排出異常,7/21,0,,300tPR排出異常45494
300t,PR排出異常,7/22,,,300tPR排出異常45495
300t,PR排出異常,7/23,,,300tPR排出異常45496
300t,PR排出異常,7/24,,,300tPR排出異常45497
300t,PR排出異常,7/25,,,300tPR排出異常45498
300t,PR排出異常,7/26,,,300tPR排出異常45499
300t,PR排出異常,7/27,0,,300tPR排出異常45500
300t,PR排出異常,7/28,0,,300tPR排出異常45501
300t,PR排出異常,7/29,,,300tPR排出異常45502
300t,PR排出異常,7/30,,,300tPR排出異常45503
300t,PR排出異常,7/31,,,300tPR排出異常45504
300t,CHワーク供給異常,7/1,0,,300tCHワーク供給異常45474
300t,CHワーク供給異常,7/2,0,,300tCHワーク供給異常45475
300t,CHワーク供給異常,7/3,6,,300tCHワーク供給異常45476
300t,CHワーク供給異常,7/4,1,,300tCHワーク供給異常45477
300t,CHワーク供給異常,7/5,4,,300tCHワーク供給異常45478
300t,CHワーク供給異常,7/6,0,,300tCHワーク供給異常45479
300t,CHワーク供給異常,7/7,0,,300tCHワーク供給異常45480
300t,CHワーク供給異常,7/8,0,,300tCHワーク供給異常45481
300t,CHワーク供給異常,7/9,7,,300tCHワーク供給異常45482
300t,CHワーク供給異常,7/10,2,,300tCHワーク供給異常45483
300t,CHワーク供給異常,7/11,2,,300tCHワーク供給異常45484
300t,CHワーク供給異常,7/12,0,,300tCHワーク供給異常45485
300t,CHワーク供給異常,7/13,0,,300tCHワーク供給異常45486
300t,CHワーク供給異常,7/14,0,,300tCHワーク供給異常45487
300t,CHワーク供給異常,7/15,,,300tCHワーク供給異常45488
300t,CHワーク供給異常,7/16,,,300tCHワーク供給異常45489
300t,CHワーク供給異常,7/17,,,300tCHワーク供給異常45490
300t,CHワーク供給異常,7/18,,,300tCHワーク供給異常45491
300t,CHワーク供給異常,7/19,,,300tCHワーク供給異常45492
300t,CHワーク供給異常,7/20,0,,300tCHワーク供給異常45493
300t,CHワーク供給異常,7/21,0,,300tCHワーク供給異常45494
300t,CHワーク供給異常,7/22,,,300tCHワーク供給異常45495
300t,CHワーク供給異常,7/23,,,300tCHワーク供給異常45496
300t,CHワーク供給異常,7/24,,,300tCHワーク供給異常45497
300t,CHワーク供給異常,7/25,,,300tCHワーク供給異常45498
300t,CHワーク供給異常,7/26,,,300tCHワーク供給異常45499
300t,CHワーク供給異常,7/27,0,,300tCHワーク供給異常45500
300t,CHワーク供給異常,7/28,0,,300tCHワーク供給異常45501
300t,CHワーク供給異常,7/29,,,300tCHワーク供給異常45502
300t,CHワーク供給異常,7/30,,,300tCHワーク供給異常45503
300t,CHワーク供給異常,7/31,,,300tCHワーク供給異常45504
300t,CHワーク排出異常,7/1,0,,300tCHワーク排出異常45474
300t,CHワーク排出異常,7/2,0,,300tCHワーク排出異常45475
300t,CHワーク排出異常,7/3,7,,300tCHワーク排出異常45476
300t,CHワーク排出異常,7/4,6,,300tCHワーク排出異常45477
300t,CHワーク排出異常,7/5,6,,300tCHワーク排出異常45478
300t,CHワーク排出異常,7/6,0,,300tCHワーク排出異常45479
300t,CHワーク排出異常,7/7,0,,300tCHワーク排出異常45480
300t,CHワーク排出異常,7/8,0,,300tCHワーク排出異常45481
300t,CHワーク排出異常,7/9,3,,300tCHワーク排出異常45482
300t,CHワーク排出異常,7/10,11,,300tCHワーク排出異常45483
300t,CHワーク排出異常,7/11,5,,300tCHワーク排出異常45484
300t,CHワーク排出異常,7/12,0,,300tCHワーク排出異常45485
